# Constructed from biom file																																																																																																																												
Feature_ID	1-OK001-A	10-OK004-A	100-P0305-A	101-P0305-B	102-P0305-C	103-P0307-A	104-P0307-B	105-P0307-C	106-P0307-D	107-P0311-A	108-P0311-B	109-P0311-C	11-OK004-B	110-P0311-D	111-P0313-A	112-P0313-B	113-P0313-C	114-P0313-D	115-P0320-A	116-P0320-B	117-P0320-C	118-P0320-D	119-P0320-D2	12-OK004-C	120-P0321-A	121-P0321-B	122-P0321-C	123-P0321-D	13-OK005-A	14-OK005-B	15-OK005-C	16-OK006-A	17-OK006-B	18-OK006-C	19-OK007-A	2-OK001-B	20-OK007-B	21-OK007-C	22-OK008-A	23-OK008-B	24-OK008-C	25-OK009-A	26-OK009-B	27-OK009-C	28-OK010-A	29-OK010-B	3-OK001-C	30-OK010-C	31-P0001-A	32-P0001-A2	33-P0001-B	34-P0001-C	35-P0001-D	36-P0003-A	37-P0003-A2	38-P0003-B	39-P0003-C	4-OK002-A	40-P0003-D	41-P0004-A	42-P0004-B	43-P0004-C	44-P0004-D	45-P0004-D2	46-P0005-A	47-P0005-B	48-P0005-C	49-P0006-A	5-OK002-B	50-P0006-B	51-P0006-C	52-P0113-A	53-P0113-B	54-P0113-C	55-P0188-A	56-P0188-B	57-P0188-C	58-P0188-D	59-P0193-A	6-OK002-C	60-P0193-B	61-P0193-C	62-P0193-D	63-P0221-A	64-P0221-B	65-P0221-C	66-P0228-A	67-P0228-B	68-P0228-C	69-P0230-A	7-OK003-A	70-P0230-B	71-P0230-C	72-P0230-D	73-P0244-A	74-P0244-B	75-P0244-C	76-P0244-D	77-P0251-A	78-P0251-B	79-P0251-C	8-OK003-B	80-P0251-D	81-P0263-A	82-P0263-B	83-P0263-C	84-P0263-D	85-P0282-A	86-P0282-B	87-P0282-C	88-P0289-A	89-P0289-B	9-OK003-C	90-P0289-C	91-P0289-D	92-P0290-A	93-P0290-B	94-P0290-C	95-P0290-D	96-P0294-A	97-P0294-B	98-P0294-C	99-P0294-D	Blank
d74aab3314cf240cdd3eca920c01d52f	505	831	363	332	653	914	314	1003	901	1296	1650	1113	84	166	760	1386	643	718	966	990	844	906	824	1000	228	429	316	1559	734	514	2670	532	182	372	374	158	424	1020	262	244	89	186	445	1394	873	734	1091	3763	1166	991	1728	277	670	2130	1281	529	352	158	659	484	464	2227	753	807	444	1412	998	821	1036	1360	2246	553	1655	646	437	536	2196	1865	2024	231	2180	2971	5722	813	1852	4054	9001	2216	1571	1189	1360	913	2389	3242	956	2398	998	311	763	1641	1765	780	278	830	182	1165	1480	336	492	2346	413	2528	7353	611	829	641	1213	1022	778	483	1004	629	2513	0
a37dd5bf945ad7e8a98e7bac1e0dfc54	0	1332	1635	1248	4242	1651	23	0	0	465	470	1096	2534	666	73	166	43	545	786	0	24	1327	2537	1396	784	188	84	1010	1095	1589	1721	1135	9	1991	1103	2	505	1036	1748	211	1148	740	29	417	341	0	1163	0	6	0	20	2480	805	3055	2464	1181	813	914	1476	2163	2254	1692	2200	2442	1576	1029	489	1870	0	891	387	0	0	0	0	1359	54	1196	21	868	648	2393	0	3714	3691	3678	0	2685	3	1478	1460	933	1087	1314	1760	35	1673	2750	762	208	0	361	3859	3903	958	3740	1374	2436	758	175	12	2233	15	39	663	1194	1373	1978	1973	779	509	25	0	0
c09c4e3e28b6cc25ae6534acee996dd0	945	424	0	379	0	0	64	0	0	0	0	0	52	0	6192	92	0	5	0	0	0	0	0	36	0	0	0	0	0	0	0	523	28689	491	0	0	0	0	0	28	0	0	0	0	0	12	0	0	4768	5040	1458	19	0	0	0	56	0	5	0	0	0	0	0	0	0	0	413	0	0	0	0	1638	0	0	0	49	0	0	10504	0	0	0	0	117	40	0	44903	0	677	10	0	926	71	2054	0	0	238	51	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0
17314d15b5054d011aa41aa24f2f6419	0	0	0	0	0	0	0	0	0	535	360	0	0	0	0	0	43	0	0	0	0	0	0	0	2644	1204	0	0	0	0	92	0	0	0	0	0	0	0	161	0	100	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	1318	0	147	1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25697	38639	19398	0	0	0	1433	0	2764	1741	4906	0	0	0	0	481	109	0	0	0	0	0	0	0	4793	0	377	477	0	0	0	0	0	28	0	0	0	0	0	0	0
755e31548f8c2f728d343fd5ae7f5168	0	541	2302	3560	2846	92	16	0	0	847	834	1356	1312	692	184	389	59	358	1826	6	176	1037	3126	1341	1958	318	627	846	0	0	1124	1148	79	1213	1344	0	1621	966	820	85	1053	613	13	1290	0	0	783	0	0	0	108	2300	1189	0	0	0	0	866	0	219	209	207	194	188	336	851	727	1333	0	3053	2556	9	7257	5959	0	626	50	1931	0	190	339	1086	0	1693	903	1895	0	0	0	450	670	241	1051	223	0	0	28	3295	0	0	0	1487	0	1176	3105	4289	0	968	1017	1190	351	748	11	456	578	2194	0	2906	1343	6427	0	0	0	0
34c4697c49f9a346d18c1d134cef0178	0	1291	811	764	1375	827	0	0	0	2111	351	378	0	1669	62	151	22	147	895	414	163	110	247	972	199	492	43	571	4654	272	257	754	4	58	1284	0	1075	991	1218	0	1404	601	0	593	1107	0	1894	109	0	0	38	219	475	3267	2214	613	1560	118	923	2544	752	2487	2568	3181	3292	814	1124	1457	0	0	83	0	0	0	0	1476	154	757	12	0	1267	1054	0	2764	1961	1566	41	2867	38	1327	938	847	953	1326	1213	467	1655	1099	907	2054	37	726	881	1827	1898	902	1969	511	608	386	163	1041	0	0	257	633	951	1529	271	6142	0	0	0	0
c707908675aa59dbb48465e5438a6b3d	158	470	123	159	182	539	0	94	0	515	355	1290	369	381	191	200	445	560	111	352	329	437	516	545	376	112	821	831	835	491	2238	1125	845	1148	707	241	399	815	157	417	2218	82	509	379	1329	1221	1114	1041	664	565	522	143	1014	476	411	274	173	301	243	38	57	77	663	556	193	491	289	1774	889	604	2556	8897	340	337	686	362	272	1049	199	1468	250	1179	4301	691	2047	3542	1010	201	1893	3646	1135	406	462	4168	1173	1302	208	1061	1488	872	369	525	1176	747	33	259	10	1749	178	1885	913	535	1748	921	1706	825	88	180	675	1097	38	27	2039	0
a98acbf97d81b1c3ad72220ea5cd41f7	452	261	261	464	501	998	52	2358	585	665	203	577	156	35	503	1180	2627	543	860	361	362	768	960	513	111	67	335	144	313	343	465	647	409	372	181	99	180	232	110	315	150	17	361	317	176	506	283	1269	536	394	1304	595	507	351	1563	726	399	104	581	499	468	607	548	524	218	923	395	787	0	1033	417	5331	598	283	472	238	1156	597	2698	70	724	3637	1764	549	174	886	1169	1136	483	219	163	366	389	398	557	1995	569	339	0	403	589	408	74	1708	2734	2318	2289	320	188	1401	82	289	655	548	91	556	9312	384	767	704	1095	4578	2129	0
0a5a37e91732ae6c51a1ddc6c06c3e26	199	417	230	340	639	497	810	46	272	1022	1444	1091	57	596	606	764	1683	1322	119	2775	4607	92	72	518	258	229	500	134	965	140	409	598	533	385	316	110	385	216	168	212	21	69	506	443	304	128	265	2141	1105	774	1791	851	881	689	628	1041	257	137	327	74	236	209	1308	1116	393	567	687	676	133	888	382	245	0	143	785	1351	526	1277	354	658	793	592	39	389	910	1283	180	699	976	2414	722	1132	922	4692	432	1201	1231	1467	416	1009	2999	1727	65	1336	134	2004	313	35	37	1620	1157	897	3130	2254	346	492	247	631	947	136	0	40	863	0
2ea6522df89427f2d0e6dd13b0ae7707	0	710	0	0	0	0	0	0	0	727	13	279	3183	252	79	0	0	0	0	0	0	0	0	2249	1362	0	153	346	236	5016	857	3246	0	3145	0	0	1873	1325	1125	8	4166	1251	0	1691	2427	0	2538	0	0	0	0	0	0	0	0	0	0	7209	0	0	0	0	0	0	0	0	0	3543	0	1920	2709	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2251	0	0	0	4456	75	4607	319	0	0	0	4727	0	0	0	0	0	0	0	1574	2061	833	0	84	1499	0	655	5802	0	0	0	0	0	0
